[0813/123921:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0813/123922:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0813/123923:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0813/123925:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[0813/123925:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[0813/123929:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0813/123930:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/123930:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/123931:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/123934:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[0813/123934:INFO:dhcp_proxy_script_adapter_fetcher_win.cc(264)] Error fetching PAC URL from DHCP: 2
[0813/130055:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/130056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/130056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/130056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/130056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/130056:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/131341:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/131341:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
[0813/131341:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=1102maxExposableOverlayHeight()=394", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/xampp/tomcat/webapps/VSA_D/FileStrutsProject/VSA_Design/WebRoot/edge_includes/an.canvas.overlay.min.js (22)
